document,dovish,hawkish,neutral,date
20180321.txt,0.07302369405222583,0.11122592175402515,0.8157503831490626,2018-03-21
20180613.txt,0.09468546583902364,0.13362701201936159,0.7716875242435663,2018-06-13
20180926.txt,0.0742161844609469,0.11266595017588436,0.813117866246387,2018-09-26
20181219.txt,0.08693095938290887,0.09149755091664667,0.8215714900056305,2018-12-19
20190130.txt,0.1886733460139567,0.19385960602448904,0.6174670580003294,2019-01-30
20190320.txt,0.10020505535273075,0.06276665673773668,0.8370282873578678,2019-03-20
20190501.txt,0.09456331965654857,0.0933033177276166,0.8121333622200173,2019-05-01
20190619.txt,0.11426321882782418,0.0781662185027924,0.8075705596342455,2019-06-19
20190731.txt,0.12072032001695242,0.054811011890224644,0.824468667957079,2019-07-31
20190918.txt,0.12331216885113641,0.07682762630681157,0.7998602027591094,2019-09-18
20191030.txt,0.12876334290532865,0.07714801382092933,0.7940886432441973,2019-10-30
20191211.txt,0.10260779365664834,0.08625774800146528,0.8111344606154802,2019-12-11
20240131.txt,0.1018379274115544,0.1386217882791355,0.7595402824926826,2024-01-31
20240320.txt,0.059661232046006415,0.1293462312534842,0.8109925375040675,2024-03-20
20240501.txt,0.07576372841284196,0.1230018090295645,0.8012344634817737,2024-05-01
20240612.txt,0.09090793863678603,0.1540507788052855,0.7550412838646783,2024-06-12
20240731.txt,0.08269166221322845,0.09283918725795273,0.8244691485819786,2024-07-31
20240918.txt,0.09995222918305835,0.10547025240613629,0.7945775155839098,2024-09-18
20241107.txt,0.07226668121336303,0.11042075583184972,0.8173125620633073,2024-11-07
20241218.txt,0.10029671643858205,0.12669410486685526,0.7730091783245535,2024-12-18
20250129.txt,0.05844882437586225,0.0712157017456944,0.8703354709847299,2025-01-29
20250319.txt,0.05954934849984374,0.08653267677781558,0.8539179727574394,2025-03-19
