document,avg_cosine_with_dovish,avg_cosine_with_hawkish
20180321.txt,0.5617484734437176,0.31503006348073065
20180613.txt,0.5601235558993274,0.33486996118113566
20180926.txt,0.5538104466941892,0.3132603075818577
20181219.txt,0.5591408370959537,0.34094926850499446
20190130.txt,0.45655468199402094,0.41135946847498417
20190320.txt,0.5524660772152161,0.3191001171246171
20190501.txt,0.5501399925602577,0.3372328901968471
20190619.txt,0.539204151769387,0.32234327477811386
20190731.txt,0.554512521345951,0.32409451406413864
20190918.txt,0.5603442869350022,0.32268285180862044
20191030.txt,0.5432131288554332,0.33031445582105656
20191211.txt,0.5514097256779905,0.32314113740148737
20240131.txt,0.5331977995886252,0.3080424420320644
20240320.txt,0.53486922173021,0.29825878636128156
20240501.txt,0.5428824874763696,0.3026347748363058
20240612.txt,0.5331997667998075,0.3207473071812031
20240731.txt,0.5406932197002624,0.29329372527325726
20240918.txt,0.5337166079495212,0.29630440586821327
20241107.txt,0.5369803226656384,0.2956318549277192
20241218.txt,0.5375233658193844,0.34190823633167705
20250129.txt,0.5483018293309567,0.27692125783538196
20250319.txt,0.5474126905675918,0.28445196845716547
