document,avg_cosine_with_dovish,avg_cosine_with_hawkish,date
20190927.txt,0.6249835935601017,0.3964569185648048,2019-09-27
20191001.txt,0.5675914144764344,0.38456744359185296,2019-10-01
20191003.txt,0.5827604941100128,0.42235058133513476,2019-10-03
20191004.txt,0.5371482968330383,0.16121125221252441,2019-10-04
20191007.txt,0.5353798907664087,0.31861684528282946,2019-10-07
20191008.txt,0.5352495520602207,0.391459609281171,2019-10-08
20191009.txt,0.579186190877642,0.43065435396773477,2019-10-09
20191016.txt,0.5670207050377435,0.34289943438743914,2019-10-16
20191017.txt,0.6146719441181276,0.3645983189344406,2019-10-17
20191018.txt,0.5476490085323652,0.49653699186940986,2019-10-18
20191021.txt,0.5534111428441424,0.43241341005672107,2019-10-21
20191101.txt,0.5407057688291607,0.39309581542194216,2019-11-01
20191108.txt,0.5685676437887278,0.4072593037377704,2019-11-08
20191112.txt,0.5058623552322388,0.1281583160161972,2019-11-12
20191114.txt,0.5646574991911196,0.4316771328827451,2019-11-14
20191125.txt,0.4862408494832469,0.4473300975400443,2019-11-25
20191126.txt,0.5370907523726995,0.5011460492964339,2019-11-26
20191218.txt,0.5210159631151902,0.37827732133630076,2019-12-18
20240108.txt,0.59413722338421,0.40058480658169304,2024-01-08
20240116.txt,0.5096952402073404,0.4653270843884219,2024-01-16
20240117.txt,0.5909172319036593,0.4320737832634569,2024-01-17
20240202.txt,0.6353893620627267,0.33388654249055044,2024-02-02
20240207.txt,0.5112713065811958,0.397939491695885,2024-02-07
20240212.txt,0.6023930312570082,0.3476821966811058,2024-02-12
20240214.txt,0.45487262652470517,0.4602008661470161,2024-02-14
20240215.txt,0.5608258494223007,0.4635733185392438,2024-02-15
20240216.txt,0.5797284745563895,0.41297591333198597,2024-02-16
20240222.txt,0.5043363942810881,0.4302368576923185,2024-02-22
20240227.txt,0.6026266196439433,0.4013814541489579,2024-02-27
20240301.txt,0.5432921069313901,0.394995526760735,2024-03-01
20240305.txt,0.6226373887724347,0.35306147768472634,2024-03-05
20240307.txt,0.6255387167135874,0.4533478319644928,2024-03-07
20240325.txt,0.4918115630295853,0.4553450762400491,2024-03-25
20240327.txt,0.4735140400328513,0.512050355359077,2024-03-27
20240401.txt,0.518896051815578,0.2832676835712932,2024-04-01
20240402.txt,0.57875443147678,0.3410491893688838,2024-04-02
20240403.txt,0.5930902031706828,0.4075146730550948,2024-04-03
20240404.txt,0.5440610374013582,0.3379189109648852,2024-04-04
20240405.txt,0.5165613194306692,0.36125852664311725,2024-04-05
20240416.txt,0.5563594919692784,0.30086006898754786,2024-04-16
20240418.txt,0.61666428964389,0.4546300306131965,2024-04-18
20240503.txt,0.4659207880496979,0.5068189374038151,2024-05-03
20240504.txt,0.5174345430873689,0.24017190357803234,2024-05-04
20240508.txt,0.5964236920294554,0.3995532024165858,2024-05-08
20240510.txt,0.5695460902388431,0.34949003714175264,2024-05-10
20240513.txt,0.5637546435936348,0.28399420102367867,2024-05-13
20240514.txt,0.5199769906202952,0.40832380518317224,2024-05-14
20240515.txt,0.581288258433342,0.3889522551000118,2024-05-15
20240517.txt,0.5558308728504926,0.39371863989591865,2024-05-17
20240518.txt,0.5481276705861091,0.31431980174966156,2024-05-18
20240519.txt,0.5348500018870389,0.25961643059013617,2024-05-19
20240520.txt,0.5399440750854099,0.45938531608887057,2024-05-20
20240521.txt,0.45806340337730944,0.4071327558485791,2024-05-21
20240524.txt,0.5505808675205791,0.4173058421461732,2024-05-24
20240528.txt,0.5429564416408539,0.5365822013806213,2024-05-28
20240607.txt,0.5040581867098808,0.25441384920850396,2024-06-07
20240614.txt,0.5274003211488115,0.36830954031741364,2024-06-14
20240617.txt,0.573392775937401,0.3491631505753973,2024-06-17
20240618.txt,0.4409629851579666,0.5213257411567421,2024-06-18
20240624.txt,0.5648143257413591,0.32077337450214793,2024-06-24
20240625.txt,0.45937938745913465,0.42595812171031305,2024-06-25
20240626.txt,0.5363042223998296,0.42343792014865467,2024-06-26
20240627.txt,0.5289535290665097,0.40040041761541806,2024-06-27
20240709.txt,0.5434231229126454,0.43181054343779884,2024-07-09
20240710.txt,0.552217991815673,0.42506960613860023,2024-07-10
20240716.txt,0.5667307494077712,0.3406863050642097,2024-07-16
20240717.txt,0.4387838547118008,0.4149497014780839,2024-07-17
20240718.txt,0.6001067161560059,0.4173742599581202,2024-07-18
20240724.txt,0.5298761196177582,0.46287620555737924,2024-07-24
20240810.txt,0.5482247900434358,0.4262088595694581,2024-08-10
20240819.txt,0.5833985452589235,0.3533950282358809,2024-08-19
20240820.txt,0.5092679787396399,0.43666474656625226,2024-08-20
20240823.txt,0.4653172258425642,0.5018238979909155,2024-08-23
20240828.txt,0.5642145512959896,0.4269017351624102,2024-08-28
20240906.txt,0.5865039858553145,0.4519753058751424,2024-09-06
20240910.txt,0.6185716376761078,0.4199030739099452,2024-09-10
20240920.txt,0.5343045327398512,0.567434709933069,2024-09-20
20240924.txt,0.49653401842087874,0.49996681171066965,2024-09-24
20240925.txt,0.41838528702754785,0.513451876017348,2024-09-25
20240926.txt,0.5213495100643264,0.4307536366506524,2024-09-26
20240930.txt,0.48658789909229827,0.5101707428693771,2024-09-30
20241001.txt,0.5068982283594787,0.387485447179486,2024-10-01
20241002.txt,0.6125820205325172,0.36724443380676564,2024-10-02
20241008.txt,0.5225530712458188,0.358078201451969,2024-10-08
20241009.txt,0.5556912391893263,0.41947879293948653,2024-10-09
20241010.txt,0.5032721310853958,0.2939490622944302,2024-10-10
20241011.txt,0.5735381492908965,0.3552760722789359,2024-10-11
20241014.txt,0.5111870600190838,0.44590559639696,2024-10-14
20241018.txt,0.5721859650634159,0.2867994722779666,2024-10-18
20241023.txt,0.5475577879242781,0.41301112967293435,2024-10-23
20241112.txt,0.5569563204633821,0.35884018665774886,2024-11-12
20241114.txt,0.5323114198282224,0.4339804101154345,2024-11-14
20241120.txt,0.4281204454600811,0.4738962167075702,2024-11-20
20241122.txt,0.5822720811480567,0.3523698277209723,2024-11-22
20241202.txt,0.5019042874559944,0.47898569105216016,2024-12-02
20241203.txt,0.4427955912456649,0.4734656774118298,2024-12-03
20250106.txt,0.4739600176402888,0.41963664309254717,2025-01-06
20250108.txt,0.5435317190630096,0.44749902351389803,2025-01-08
20250109.txt,0.5554278568128616,0.45011494974217686,2025-01-09
20250131.txt,0.5713048569750094,0.39388936428704124,2025-01-31
20250204.txt,0.46555362593069255,0.5171798749208868,2025-02-04
20250205.txt,0.504238332141981,0.41112566257431876,2025-02-05
20250207.txt,0.45875629567437703,0.506720438434018,2025-02-07
20250212.txt,0.5735120433464385,0.3624722891601554,2025-02-12
20250217.txt,0.555171180080909,0.3784070498811511,2025-02-17
20250218.txt,0.5445412954847727,0.420328463045215,2025-02-18
20250219.txt,0.5056176678700881,0.4361657667566429,2025-02-19
20250220.txt,0.5499507052730409,0.4448715831696067,2025-02-20
20250221.txt,0.5809190056303091,0.36118563767849354,2025-02-21
20250225.txt,0.5106259423422895,0.36564017638359986,2025-02-25
20250227.txt,0.5771072247753972,0.3641380524019832,2025-02-27
20250307.txt,0.4494913379469561,0.4684469043129375,2025-03-07
20250321.txt,0.672163317600886,0.5597467919190725,2025-03-21
20250324.txt,0.5235753703575868,0.38876683744960105,2025-03-24
20250325.txt,0.4450013857673515,0.4297173265685243,2025-03-25
20250402.txt,0.5846690980195999,0.47092845249176024,2025-04-02
20250403.txt,0.4848726136572659,0.4291432003118098,2025-04-03
20250404.txt,0.5485494811745251,0.4246643442824921,2025-04-04
20250407.txt,0.5746204753716787,0.2206707630927364,2025-04-07
20250414.txt,0.49561729840934277,0.414965794266512,2025-04-14
20250415.txt,0.5094648579071308,0.25081096320873364,2025-04-15
20250416.txt,0.4904285886070945,0.5067077724432404,2025-04-16
20250417.txt,0.5324171903805855,0.32068616482548606,2025-04-17
20250422.txt,0.5326432785720426,0.38501848824350554,2025-04-22
20250423.txt,0.6092023706954458,0.32201728159966675,2025-04-23
20250503.txt,0.5380227398336603,0.2963035469142239,2025-05-03
