document,dovish,hawkish,neutral,date
20180119.txt,0.007835206727399166,0.008690840672232336,0.9834739571994113,2018-01-19
20180213.txt,0.05726856005165044,0.06412635497751278,0.8786050705077488,2018-02-13
20180222.txt,0.21950815579735458,0.21940830584658433,0.5610835306246632,2018-02-22
20180226.txt,0.0008948475487058102,0.02598636482455024,0.9731187911497222,2018-02-26
20180305.txt,0.00030839095083397944,0.0014540671091665337,0.9982375417436872,2018-03-05
20180306.txt,0.352527093550033,0.3295612428022866,0.31791165714932534,2018-03-06
20180326.txt,0.027082347620368333,0.015329847846927199,0.9575878006929998,2018-03-26
20180403.txt,0.13881002174931664,0.2228547405534673,0.6383352389017151,2018-04-03
20180406.txt,0.2183960855719645,0.23719892897269365,0.54440498501498,2018-04-06
20180417.txt,0.00015047554410619157,0.00041161807320796946,0.9994379029435626,2018-04-17
20180419.txt,0.07475146868467333,0.22861847345292527,0.6966300609235007,2018-04-19
20180504.txt,0.0734695575787041,0.11788529170504776,0.8086451532435603,2018-05-04
20180508.txt,0.1011623687319487,0.0612457009686385,0.8375919302712312,2018-05-08
20180515.txt,0.017214863808685102,0.003903865155854098,0.9788812764435548,2018-05-15
20180516.txt,0.018679623009813354,0.015558007726083036,0.9657623711086455,2018-05-16
20180518.txt,0.01342706184513426,0.0005961984388704877,0.9859767476855604,2018-05-18
20180525.txt,0.022936581422344688,0.03348439165763677,0.9435790210731865,2018-05-25
20180531.txt,0.303477732956803,0.3228661743749052,0.37365608515267795,2018-05-31
20180620.txt,0.19998407538959828,0.3324920183187524,0.4675239114288011,2018-06-20
20180627.txt,0.027383591712910296,0.019173887525819458,0.9534425241156266,2018-06-27
20180718.txt,0.009315286879010879,0.002522573449861435,0.9881621322905024,2018-07-18
20180719.txt,0.016911440189904255,0.0014853438359360943,0.9816032113536955,2018-07-19
20180824.txt,0.17555751903405922,0.33113900094857934,0.4933034847913818,2018-08-24
20180912.txt,0.1890383936763031,0.3443921455818082,0.46656944940864026,2018-09-12
20180927.txt,0.09763564214241843,0.22279543210180267,0.6795689190220056,2018-09-27
20181002.txt,0.09430399144018536,0.24499472985500434,0.6607012760025389,2018-10-02
20181003.txt,0.026188818491786864,0.028029737072005366,0.9457814394617858,2018-10-03
20181004.txt,0.023457257333230418,0.01394649333363712,0.9625962537167401,2018-10-04
20181015.txt,0.010770584276669555,0.015057465642945148,0.9741719600766204,2018-10-15
20181017.txt,0.0021944571149106196,0.022464382121711424,0.9753411653218791,2018-10-17
20181018.txt,0.09885657187464642,0.2285026658571691,0.6726407648028856,2018-10-18
20181025.txt,0.1596890472125942,0.31679179857625667,0.5235191531675623,2018-10-25
20181109.txt,0.0023052665262200704,0.029984998269643064,0.9677097358610154,2018-11-09
20181113.txt,0.006363312994553467,0.0038121470569704202,0.9898245421976879,2018-11-13
20181116.txt,0.0001867239364704195,0.0004913641666159189,0.9993219154852407,2018-11-16
20181127.txt,0.07137988327253529,0.254759395199989,0.6738607286565149,2018-11-27
20181128.txt,0.11188330756686767,0.1727033361676149,0.715413362969504,2018-11-28
20181203.txt,0.02564772837568129,0.013286938634052671,0.9610653316616365,2018-12-03
20181205.txt,0.019543556785953486,0.0100673601562013,0.9703890893600372,2018-12-05
20181206.txt,0.1324679203239414,0.03684820730378978,0.8306838790316682,2018-12-06
20181207.txt,0.16689841829099428,0.267281801830266,0.5658197793620022,2018-12-07
20190109.txt,0.010758262003982604,0.0054619579493759155,0.9837797812674896,2019-01-09
20190110.txt,0.14899382680314807,0.2461472270363066,0.6048589639869446,2019-01-10
20190201.txt,0.0023709100724954623,0.001201017472485546,0.9964280664920807,2019-02-01
20190206.txt,0.0014062731035196655,0.02230963295509769,0.9762840960589745,2019-02-06
20190210.txt,0.01337630236390824,0.04162536866141297,0.9449983227486703,2019-02-10
20190211.txt,0.0024056359584897612,0.005514518654914961,0.9920798473887973,2019-02-11
20190212.txt,0.023965340129980178,0.018387441844097338,0.9576472223666497,2019-02-12
20190222.txt,0.12106683518947238,0.0919784525450316,0.7869547081327308,2019-02-22
20190223.txt,0.00019977387835917233,0.00027417701785452663,0.9995260596275329,2019-02-23
20190228.txt,0.2519869521572769,0.1633621112498435,0.5846509338115935,2019-02-28
20190307.txt,0.3723200716564265,0.16177052052923405,0.46590941033480643,2019-03-07
20190308.txt,0.08140238877909982,0.1074135331106676,0.8111840778816516,2019-03-08
20190311.txt,0.11843418737225875,0.001971208712348016,0.8795945950868455,2019-03-11
20190312.txt,0.0002217299893576853,0.0008017556870457818,0.9989765185420796,2019-03-12
20190325.txt,0.00010833646229002625,0.00016422700718976557,0.9997274279594421,2019-03-25
20190328.txt,0.1087426094317007,0.046576227581583786,0.8446811638252818,2019-03-28
20190329.txt,0.10971199352395408,0.18630632028967242,0.7039816886505419,2019-03-29
20190402.txt,0.009571258175403911,0.024964754128863256,0.9654639888995302,2019-04-02
20190409.txt,0.15908081947421282,0.07125651603838912,0.769662660262492,2019-04-09
20190410.txt,0.00011237770195293706,0.0002755045843514381,0.999612107872963,2019-04-10
20190411.txt,0.03275054327194812,0.0444884872509283,0.9227609737082385,2019-04-11
20190503.txt,0.02568047600704761,0.03916145502306772,0.9351580655879379,2019-05-03
20190508.txt,0.17248750584506276,0.153891860007868,0.6736206405954418,2019-05-08
20190509.txt,0.11877981361601542,0.037794294935793005,0.8434258784582198,2019-05-09
20190510.txt,0.1067441536318098,0.13204995147047474,0.7612058951094893,2019-05-10
20190513.txt,0.09893448870233053,0.061334879281015935,0.8397306419922513,2019-05-13
20190516.txt,0.2818706271542039,0.2754972529000272,0.4426321170612937,2019-05-16
20190517.txt,0.00034220621835794935,0.046140009244316556,0.9535177986730229,2019-05-17
