document,avg_cosine_with_dovish,avg_cosine_with_hawkish
20180119.txt,0.6043513117684531,0.4394883247303594
20180213.txt,0.5524852818085088,0.4502333791719543
20180222.txt,0.4590241791946547,0.5242538230404967
20180226.txt,0.5604005373186536,0.507704506524735
20180305.txt,0.6159161635807582,0.42271405912580945
20180306.txt,0.4440945500539521,0.5399434465472981
20180326.txt,0.540833181515336,0.39966078236854324
20180403.txt,0.5306382114525701,0.49062074122370264
20180406.txt,0.4739223303504629,0.4421947645084336
20180417.txt,0.5608570813122442,0.4749818662718191
20180419.txt,0.5420738737006764,0.5617826011154677
20180504.txt,0.6114009969107067,0.4136092382987947
20180508.txt,0.554202460487124,0.39634039987560726
20180515.txt,0.5593648748319657,0.34954314932349273
20180516.txt,0.6291392371058464,0.45271165056952406
20180518.txt,0.5629601691746049,0.40366726365216354
20180525.txt,0.5712027148026781,0.3743870886253942
20180531.txt,0.4678127313298838,0.5207132223461356
20180620.txt,0.4404357047890549,0.48288967599397276
20180627.txt,0.5590062763255376,0.3979063229993559
20180718.txt,0.6257275735648969,0.42142615366416675
20180719.txt,0.589841701208599,0.3683316059824493
20180824.txt,0.4910520264370875,0.43328356641260063
20180912.txt,0.5018742518642774,0.5143192235308771
20180927.txt,0.5425579578712069,0.49595964160458794
20181002.txt,0.5629006206298506,0.42658233154096353
20181003.txt,0.541874757927397,0.3932580855148642
20181004.txt,0.4694540350986966,0.36367434146412614
20181015.txt,0.577719331480736,0.4263589489598607
20181017.txt,0.48950486234389246,0.3633557024295442
20181018.txt,0.5300043341659364,0.44248386933690026
20181025.txt,0.5477480063071618,0.5056573978792398
20181109.txt,0.6234071590006351,0.4399727629987817
20181113.txt,0.5683509523755518,0.3691061992150057
20181116.txt,0.6050964693228403,0.4449135054040838
20181127.txt,0.5578486951497885,0.4721629559277342
20181128.txt,0.5784315842957723,0.43991051537413445
20181203.txt,0.5608492328398893,0.38716560820130264
20181205.txt,0.5093109702579995,0.36779902597618663
20181206.txt,0.47099739183550293,0.43954984819435555
